,Date,Price,Change,Score,Square
0,2018-06-15,277.1300048828125,0.529998779296875,-17.0,289.0
1,2018-06-18,276.55999755859375,1.07000732421875,3.0,9.0
2,2018-06-19,275.5,1.5,-282.0,79524.0
3,2018-06-20,275.9700012207031,-0.29998779296875,-44.0,1936.0
4,2018-06-21,274.239990234375,-1.720001220703125,-57.0,3249.0
5,2018-06-22,274.739990234375,-0.920013427734375,-40.0,1600.0
6,2018-06-25,271.0,-2.44000244140625,6.0,36.0
7,2018-06-26,271.6000061035156,-0.040008544921875,4.0,16.0
8,2018-06-27,269.3500061035156,-2.910003662109375,-84.0,7056.0
9,2018-06-28,270.8900146484375,1.600006103515625,-50.0,2500.0
10,2018-06-29,271.2799987792969,-0.839996337890625,-38.0,1444.0
11,2018-07-02,271.8599853515625,2.3499755859375,-6.0,36.0
12,2018-07-03,270.8999938964844,-1.970001220703125,1.0,1.0
13,2018-07-05,273.1099853515625,0.939971923828125,-3.0,9.0
14,2018-07-06,275.4200134277344,2.279998779296875,-40.0,1600.0
15,2018-07-09,277.8999938964844,1.350006103515625,-15.0,225.0
16,2018-07-10,278.8999938964844,0.489990234375,30.0,900.0
17,2018-07-11,276.8599853515625,-0.290008544921875,-69.0,4761.0
18,2018-07-12,279.3699951171875,1.089996337890625,-85.0,7225.0
19,2018-07-13,279.5899963378906,0.41998291015625,-41.0,1681.0
20,2018-07-16,279.3399963378906,-0.300018310546875,14.0,196.0
21,2018-07-17,280.4700012207031,2.0,-14.0,196.0
22,2018-07-18,281.05999755859375,0.5,3.0,9.0
23,2018-07-19,280.0,-0.30999755859375,20.0,400.0
24,2018-07-20,279.67999267578125,-0.089996337890625,-23.0,529.0
25,2018-07-23,280.20001220703125,0.75,5.0,25.0
26,2018-07-24,281.6099853515625,-0.180023193359375,24.0,576.0
27,2018-07-25,284.010009765625,2.680023193359375,25.0,625.0
28,2018-07-26,283.3399963378906,0.139984130859375,-15.0,225.0
29,2018-07-27,281.4200134277344,-2.28997802734375,15.0,225.0
30,2018-07-30,279.95001220703125,-1.55999755859375,9.0,81.0
31,2018-07-31,281.3299865722656,0.519989013671875,23.0,529.0
32,2018-08-01,280.8599853515625,-0.70001220703125,18.0,324.0
33,2018-08-02,282.3900146484375,3.0,-29.0,841.0
34,2018-08-03,283.6000061035156,1.07000732421875,-4.0,16.0
35,2018-08-06,284.6400146484375,1.0,62.0,3844.0
36,2018-08-07,285.5799865722656,0.189971923828125,-12.0,144.0
37,2018-08-08,285.4599914550781,0.069976806640625,-41.0,1681.0
38,2018-08-09,285.07000732421875,-0.459991455078125,19.0,361.0
39,2018-08-10,283.1600036621094,-0.290008544921875,5.0,25.0
40,2018-08-13,282.1000061035156,-1.3699951171875,-12.0,144.0
41,2018-08-14,283.8999938964844,0.97998046875,-21.0,441.0
42,2018-08-15,281.7799987792969,-0.600006103515625,8.0,64.0
43,2018-08-16,284.05999755859375,0.660003662109375,-12.0,144.0
44,2018-08-17,285.05999755859375,1.230010986328125,1.0,1.0
45,2018-08-20,285.6700134277344,0.100006103515625,70.0,4900.0
