,Date,Price,Change,Score,Square
0,2018-06-15,142.47999572753906,0.4799957275390625,-17.0,289.0
1,2018-06-18,142.1699981689453,0.69000244140625,3.0,9.0
2,2018-06-19,139.5500030517578,-1.0500030517578125,-282.0,79524.0
3,2018-06-20,139.75999450683594,-0.230010986328125,-44.0,1936.0
4,2018-06-21,138.0800018310547,-1.410003662109375,-57.0,3249.0
5,2018-06-22,138.44000244140625,-0.6399993896484375,-40.0,1600.0
6,2018-06-25,136.52000427246094,-0.9499969482421875,6.0,36.0
7,2018-06-26,137.0,-0.1999969482421875,4.0,16.0
8,2018-06-27,135.85000610351562,-1.579986572265625,-84.0,7056.0
9,2018-06-28,135.49000549316406,0.32000732421875,-50.0,2500.0
10,2018-06-29,135.80999755859375,-0.19000244140625,-38.0,1444.0
11,2018-07-02,136.19000244140625,1.3899993896484375,-6.0,36.0
12,2018-07-03,135.83999633789062,-0.8700103759765625,1.0,1.0
13,2018-07-05,136.69000244140625,0.3300018310546875,-3.0,9.0
14,2018-07-06,137.10000610351562,0.600006103515625,-40.0,1600.0
15,2018-07-09,139.47000122070312,1.7100067138671875,-15.0,225.0
16,2018-07-10,139.75999450683594,-0.029998779296875,30.0,900.0
17,2018-07-11,137.66000366210938,-0.959991455078125,-69.0,4761.0
18,2018-07-12,139.05999755859375,0.339996337890625,-85.0,7225.0
19,2018-07-13,139.8699951171875,1.019989013671875,-41.0,1681.0
20,2018-07-16,139.0500030517578,-1.1199951171875,14.0,196.0
21,2018-07-17,139.7100067138672,0.69000244140625,-14.0,196.0
22,2018-07-18,141.1699981689453,1.0099945068359375,3.0,9.0
23,2018-07-19,141.2100067138672,0.790008544921875,20.0,400.0
24,2018-07-20,141.02000427246094,0.0800018310546875,-23.0,529.0
25,2018-07-23,140.27000427246094,-0.470001220703125,5.0,25.0
26,2018-07-24,140.5,-0.30999755859375,24.0,576.0
27,2018-07-25,142.22999572753906,2.0,25.0,625.0
28,2018-07-26,143.49000549316406,1.350006103515625,-15.0,225.0
29,2018-07-27,143.19000244140625,-0.6300048828125,15.0,225.0
30,2018-07-30,141.94000244140625,-1.3000030517578125,9.0,81.0
31,2018-07-31,144.94000244140625,2.160003662109375,23.0,529.0
32,2018-08-01,143.2899932861328,-1.4000091552734375,18.0,324.0
33,2018-08-02,143.2899932861328,0.75,-29.0,841.0
34,2018-08-03,143.47999572753906,0.94000244140625,-4.0,16.0
35,2018-08-06,143.7899932861328,0.4499969482421875,62.0,3844.0
36,2018-08-07,144.77000427246094,1.4300079345703125,-12.0,144.0
37,2018-08-08,144.13999938964844,-0.5099945068359375,-41.0,1681.0
38,2018-08-09,143.5500030517578,-0.7899932861328125,19.0,361.0
39,2018-08-10,142.55999755859375,-0.279998779296875,5.0,25.0
40,2018-08-13,141.72000122070312,-0.9799957275390625,-12.0,144.0
41,2018-08-14,142.72999572753906,0.6399993896484375,-21.0,441.0
