,Date,Price,Change,Score,Square
0,2018-06-15,86.75,0.5500030517578125,-17.0,289.0
1,2018-06-18,86.48999786376953,0.23999786376953125,3.0,9.0
2,2018-06-19,86.98999786376953,1.1899948120117188,-282.0,79524.0
3,2018-06-20,86.94000244140625,-0.529998779296875,-44.0,1936.0
4,2018-06-21,86.22000122070312,-0.9300003051757812,-57.0,3249.0
5,2018-06-22,86.75,0.3600006103515625,-40.0,1600.0
6,2018-06-25,85.66000366210938,-0.8899993896484375,6.0,36.0
7,2018-06-26,85.7699966430664,-0.09000396728515625,4.0,16.0
8,2018-06-27,84.91000366210938,-0.8699951171875,-84.0,7056.0
9,2018-06-28,85.26000213623047,1.029998779296875,-50.0,2500.0
10,2018-06-29,84.91999816894531,-0.3899993896484375,-38.0,1444.0
11,2018-07-02,85.19000244140625,0.7900009155273438,-6.0,36.0
12,2018-07-03,84.75,-0.6299972534179688,1.0,1.0
13,2018-07-05,86.38999938964844,0.6699981689453125,-3.0,9.0
14,2018-07-06,87.37000274658203,1.0100021362304688,-40.0,1600.0
15,2018-07-09,87.75,-0.1399993896484375,-15.0,225.0
16,2018-07-10,88.02999877929688,0.089996337890625,30.0,900.0
17,2018-07-11,87.18000030517578,-0.12000274658203125,-69.0,4761.0
18,2018-07-12,88.11000061035156,0.779998779296875,-85.0,7225.0
19,2018-07-13,87.88999938964844,-0.1399993896484375,-41.0,1681.0
20,2018-07-16,87.66000366210938,-0.1699981689453125,14.0,196.0
21,2018-07-17,87.5,0.5100021362304688,-14.0,196.0
22,2018-07-18,86.9800033569336,-0.34999847412109375,3.0,9.0
23,2018-07-19,86.30000305175781,-0.5199966430664062,20.0,400.0
24,2018-07-20,85.97000122070312,-0.29000091552734375,-23.0,529.0
25,2018-07-23,86.16000366210938,0.25,5.0,25.0
26,2018-07-24,86.8499984741211,-0.45000457763671875,24.0,576.0
27,2018-07-25,86.68000030517578,-0.01999664306640625,25.0,625.0
28,2018-07-26,85.30000305175781,0.6100006103515625,-15.0,225.0
29,2018-07-27,84.6500015258789,-0.8199996948242188,15.0,225.0
30,2018-07-30,84.22000122070312,-0.3699951171875,9.0,81.0
31,2018-07-31,84.41999816894531,0.09999847412109375,23.0,529.0
32,2018-08-01,84.19999694824219,-0.17000579833984375,18.0,324.0
33,2018-08-02,84.83999633789062,1.2599945068359375,-29.0,841.0
34,2018-08-03,85.2300033569336,0.160003662109375,-4.0,16.0
35,2018-08-06,86.44000244140625,1.0100021362304688,62.0,3844.0
36,2018-08-07,86.55999755859375,-0.12000274658203125,-12.0,144.0
37,2018-08-08,86.36000061035156,-0.1999969482421875,-41.0,1681.0
38,2018-08-09,87.08999633789062,0.46999359130859375,19.0,361.0
39,2018-08-10,86.5,-0.25,5.0,25.0
40,2018-08-13,86.33000183105469,-0.1699981689453125,-12.0,144.0
41,2018-08-14,87.13999938964844,0.6299972534179688,-21.0,441.0
42,2018-08-15,86.12999725341797,-0.6200027465820312,8.0,64.0
43,2018-08-16,86.18000030517578,-0.31999969482421875,-12.0,144.0
44,2018-08-17,86.05999755859375,0.1199951171875,1.0,1.0
45,2018-08-20,86.1500015258789,-0.04000091552734375,70.0,4900.0
46,2018-08-21,86.51000213623047,0.26000213623046875,21.0,441.0
47,2018-08-22,86.43000030517578,0.01000213623046875,-24.0,576.0
48,2018-08-23,85.9800033569336,-0.25,-20.0,400.0
49,2018-08-24,87.1500015258789,0.94000244140625,4.0,16.0
50,2018-08-27,87.79000091552734,0.279998779296875,-4.0,16.0
51,2018-08-28,87.54000091552734,-0.339996337890625,13.0,169.0
52,2018-08-29,87.95999908447266,0.37000274658203125,8.0,64.0
53,2018-08-30,87.4800033569336,-0.2299957275390625,8.0,64.0
54,2018-08-31,86.80999755859375,-0.25,-2.0,4.0
55,2018-09-04,85.9800033569336,-0.2299957275390625,11.0,121.0
56,2018-09-05,84.93000030517578,-0.8199996948242188,5.0,25.0
57,2018-09-06,84.33000183105469,-0.3600006103515625,7.0,49.0
58,2018-09-07,84.54000091552734,0.5999984741210938,-4.0,16.0
59,2018-09-10,84.7699966430664,-0.14000701904296875,10.0,100.0
60,2018-09-11,85.52999877929688,0.779998779296875,-11.0,121.0
61,2018-09-12,85.62000274658203,0.31999969482421875,-67.0,4489.0
62,2018-09-13,86.13999938964844,0.279998779296875,-34.0,1156.0
63,2018-09-14,86.08999633789062,-0.29000091552734375,25.0,625.0
64,2018-09-17,85.37000274658203,-0.75,-39.0,1521.0
65,2018-09-18,86.05999755859375,0.7699966430664062,12.0,144.0
66,2018-09-19,86.05000305175781,-0.0099945068359375,-2.0,4.0
67,2018-09-20,86.80000305175781,0.40000152587890625,-30.0,900.0
68,2018-09-21,86.43000030517578,-0.6399993896484375,-11.0,121.0
69,2018-09-24,86.13999938964844,0.37999725341796875,3.0,9.0
70,2018-09-25,86.27999877929688,0.3300018310546875,-1.0,1.0
71,2018-09-26,86.4000015258789,0.1699981689453125,5.0,25.0
72,2018-09-27,87.19999694824219,0.7199935913085938,21.0,441.0
73,2018-09-28,87.0,-0.01999664306640625,4.0,16.0
74,2018-10-01,86.56999969482422,-0.529998779296875,8.0,64.0
75,2018-10-02,86.87000274658203,0.2700042724609375,21.0,441.0
76,2018-10-03,87.0,-0.23000335693359375,-1.0,1.0
77,2018-10-04,86.0,-0.6999969482421875,-6.0,36.0
78,2018-10-05,85.0199966430664,-0.9800033569335938,6.0,36.0
79,2018-10-08,84.7300033569336,0.06000518798828125,31.0,961.0
80,2018-10-09,84.8499984741211,0.15000152587890625,35.0,1225.0
